"Scouter Initials","Match Number","Robot","Future Alliance in Qualy?","Team Number","Starting Position","No Show","Cage Position","Moved?","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Dislodged Algae?","Auto Foul","Dislodged Algae?","Pickup Location","Coral L1 Scored","Coral L2 Scored","Coral L3 Scored","Coral L4 Scored","Barge Algae Scored","Processor Algae Scored","Crossed Feild/Played Defense?","Tipped/Fell Over?","Touched Opposing Cage?","Died?","End Position","Defended?","Yellow/Red Card","",""
"M.M.","1","R1","true","7725","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"DO","1","R3","true","5959","R1","false","SP2","true","0","0","0","0","0","0","false","0","true","HP","0","2","0","0","0","3","false","false","0","false","No","false","No Card","",""
"JP","1","B2","true","9301","R2","false","SP1","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"K S","1","CH","false","2283","R2","false","SP1","true","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"MR","1","CH","true","4635","R3","false","SP1","true","0","0","0","0","0","0","false","0","true","None","0","0","0","0","0","1","false","false","0","false","P","false","No Card","",""
"DO","2","R3","true","6652","R1","false","SP1","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","true","false","0","false","No","false","No Card","",""
"M.M.","2","R1","false","4584","R3","false","SP2","true","0","0","0","1","0","0","false","0","false","HP","0","0","0","4","0","0","false","false","0","false","Sc","false","No Card","",""
"ML","2","R2","false","4977","R2","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","5","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"MR","2","B3","false","4403","R1","false","SP1","false","0","0","0","0","0","0","false","0","true","HP","1","0","3","4","0","0","false","false","0","false","Dc","false","No Card","",""
"DO","3","CH","false","10529","R2","true","SP2","false","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"ML","3","R2","true","9053","R1","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
"M.M.","3","R1","false","9822","R3","false","SP2","false","0","0","0","0","0","0","false","0","false","HP","0","0","0","0","0","0","false","false","0","false","No","false","No Card","",""
"JP","3","B2","true","3480","R3","false","SP1","true","0","0","0","0","0","0","false","0","false","None","0","0","0","0","0","0","true","false","0","false","P","false","No Card","",""
"MR","3","CH","false","3794","R1","false","SP2","true","0","0","0","0","0","0","false","0","false","HP","1","0","0","0","0","0","false","false","0","false","P","false","No Card","",""
